STUDENT_ID,STUDENT_NAME,MAJOR,PASSED_SEMESTER,GRADE
2019381529,서채윤,기계공학과,4,2
2011296452,임채빈,기계공학과,8,4
2015945379,서규빈,기계공학과,4,2
2017409116,임희윤,기계공학과,8,4
2012300078,조아인,기계공학과,3,2
2012086195,임여준,기계공학과,4,2
2021558670,윤은성,기계공학과,1,1
2017093566,서지선,기계공학과,5,3
2013672939,박재우,기계공학과,7,4
2021005448,최선유,기계공학과,2,1
2015027208,임서준,기계공학과,7,4
2016493167,최결,기계공학과,4,2
2015078327,장라임,기계공학과,6,3
2017518650,임하진,기계공학과,8,4
2014817358,강겸,기계공학과,4,2
2021791350,강도연,기계공학과,1,1
2012411415,정태리,기계공학과,5,3
2021631828,장소유,기계공학과,1,1
2015589575,박동호,기계공학과,6,3
2018492079,박하루,기계공학과,4,2
2015462427,조다혜,기계공학과,4,2
2021735707,정재희,기계공학과,2,1
2017493378,정한비,기계공학과,8,4
2019179016,임영찬,기계공학과,4,2
2013428830,이연수,기계공학과,4,2
2021697157,강예슬,기계공학과,1,1
2014812636,한태성,기계공학과,5,3
2019349984,한서율,기계공학과,6,3
2018174211,최다솔,기계공학과,3,2
2011003578,윤윤서,기계공학과,6,3
2021083760,박유신,기계공학과,1,1
2013692324,정재형,기계공학과,6,3
2018657797,김윤,기계공학과,8,4
2011786560,서태윤,기계공학과,7,4
2019357006,장지한,기계공학과,4,2
2021317624,조아영,기계공학과,1,1
2021490007,서성찬,기계공학과,1,1
2018856228,서태윤,기계공학과,5,3
2014368097,강재은,기계공학과,6,3
2021018488,강민욱,기계공학과,1,1
2012234111,조고은,기계공학과,6,3
2021752137,강강준,기계공학과,2,1
2014744261,최예진,기계공학과,4,2
2013249947,장하랑,기계공학과,5,3
2017079589,강나은,기계공학과,8,4
2015335923,서건,기계공학과,7,4
2012265918,서다경,기계공학과,7,4
2016037352,임정연,기계공학과,5,3
2018807236,정지현,기계공학과,5,3
2019568706,이시온,기계공학과,4,2
2021154526,서동환,기계공학과,2,1
2016460005,한예림,기계공학과,8,4
2021310823,박여은,기계공학과,2,1
2012130359,임하이,기계공학과,8,4
2015227255,박이한,기계공학과,6,3
2011257189,윤영우,기계공학과,6,3
2014742647,조린,기계공학과,6,3
2012801488,최재영,기계공학과,6,3
2011994679,윤재희,기계공학과,6,3
2016231032,정세영,기계공학과,7,4
2016977385,최우재,기계공학과,4,2
2014083047,서현준,기계공학과,3,2
2015273995,장준우,기계공학과,3,2
2017780935,장주완,기계공학과,8,4
2018546129,임민혁,기계공학과,5,3
2019567622,한선아,기계공학과,6,3
2011088021,최연준,기계공학과,3,2
2018138877,이소은,기계공학과,7,4
